date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:16	141/141	---M-Z	200	added ('OK')	text/plain	date:Wed,%2029%20Jan%202025%2002:18:35%20GMT	https://programareceitasocultas.com.br/robots.txt		(from )
22:18:16	128977/128977	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2002:18:35%20GMT	https://programareceitasocultas.com.br/receitas/	C:/Meus%20Sites/tentativa/programareceitasocultas.com.br/receitas/index.html	(from )
22:18:17	32796/32796	---MCZ	200	added ('OK')	application/javascript	etag:W/%22801c-19465f0f9d8%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Meus%20Sites/tentativa/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://programareceitasocultas.com.br/receitas/)
22:18:17	13618/13618	---MCZ	200	added ('OK')	application/javascript	etag:W/%223532-19465f0f9d8%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/Meus%20Sites/tentativa/cdn.utmify.com.br/scripts/utms/latest.js	(from https://programareceitasocultas.com.br/receitas/)
22:18:17	5501/5501	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Dec%202024%2020:10:28%20GMT	https://programareceitasocultas.com/wp-content/themes/hello-elementor/style.min.css?ver=3.2.0	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/themes/hello-elementor/style.min55a0.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:17	5069/5069	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Dec%202024%2020:10:28%20GMT	https://programareceitasocultas.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.2.0	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/themes/hello-elementor/theme.min55a0.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:17	7212/7212	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Dec%202024%2020:10:28%20GMT	https://programareceitasocultas.com/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.2.0	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/themes/hello-elementor/header-footer.min55a0.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:18	53382/53382	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Jan%202025%2016:45:03%20GMT	https://programareceitasocultas.com/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1733847961	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/elementor/css/custom-frontend.min4acf.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:18	1742/1742	---MCZ	200	added ('OK')	text/css	date:Sat,%2025%20Jan%202025%2020:29:16%20GMT	https://programareceitasocultas.com/wp-content/uploads/elementor/css/post-7.css?ver=1733847961	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/elementor/css/post-74acf.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:18	16471/16471	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202025%2004:52:48%20GMT	https://programareceitasocultas.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:18	5486/5486	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202025%2004:52:47%20GMT	https://programareceitasocultas.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.25.11	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min1ffb.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:19	59344/59344	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202025%2004:52:48%20GMT	https://programareceitasocultas.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.25.11	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min1ffb.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:19	26702/26702	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202025%2004:52:48%20GMT	https://programareceitasocultas.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.25.11	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min1ffb.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:19	10293/10293	---MCZ	200	added ('OK')	text/css	date:Sat,%2025%20Jan%202025%2020:29:16%20GMT	https://programareceitasocultas.com/wp-content/uploads/elementor/css/custom-widget-icon-list.min.css?ver=1733847961	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/elementor/css/custom-widget-icon-list.min4acf.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:19	645/645	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202025%2004:52:47%20GMT	https://programareceitasocultas.com/wp-content/plugins/elementor/assets/css/conditionals/shapes.min.css?ver=3.25.11	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/plugins/elementor/assets/css/conditionals/shapes.min1ffb.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:19	600/600	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202025%2004:52:47%20GMT	https://programareceitasocultas.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.25.11	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/plugins/elementor/assets/css/widget-heading.min1ffb.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:20	254/254	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202025%2004:52:47%20GMT	https://programareceitasocultas.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.25.11	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/plugins/elementor/assets/css/widget-image.min1ffb.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:20	704/704	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202025%2004:52:47%20GMT	https://programareceitasocultas.com/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.25.11	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/plugins/elementor/assets/css/widget-text-editor.min1ffb.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:20	1369/1369	---MCZ	200	added ('OK')	text/css	date:Sat,%2025%20Jan%202025%2020:29:16%20GMT	https://programareceitasocultas.com/wp-content/uploads/elementor/css/custom-widget-image-box.min.css?ver=1733847961	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/elementor/css/custom-widget-image-box.min4acf.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:20	106/106	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202025%2004:52:47%20GMT	https://programareceitasocultas.com/wp-content/plugins/elementor/assets/css/widget-menu-anchor.min.css?ver=3.25.11	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/plugins/elementor/assets/css/widget-menu-anchor.min1ffb.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:20	1833/1833	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202025%2004:52:47%20GMT	https://programareceitasocultas.com/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.25.11	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/plugins/elementor/assets/css/widget-spacer.min1ffb.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:21	162020/162020	---MCZ	200	added ('OK')	text/css	date:Sat,%2025%20Jan%202025%2020:29:29%20GMT	https://programareceitasocultas.com/wp-content/uploads/elementor/css/post-172417.css?ver=1734291832	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/elementor/css/post-1724178763.css	(from https://programareceitasocultas.com.br/receitas/)
22:18:21	15073/15073	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2024%20Jan%202025%2004:52:48%20GMT	https://programareceitasocultas.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.25.11	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min1ffb.js	(from https://programareceitasocultas.com.br/receitas/)
22:18:21	133910/133910	---M--	200	added ('OK')	image/webp	date:Thu,%2023%20Nov%202023%2002:19:00%20GMT	https://programareceitasocultas.com/wp-content/uploads/2023/11/20231122_230858_0000-e1700705931543.png	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/2023/11/20231122_230858_0000-e1700705931543.png	(from https://programareceitasocultas.com.br/receitas/)
22:18:21	176055/176055	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Feb%202024%2021:19:40%20GMT	https://programareceitasocultas.com/wp-content/uploads/2024/02/guia-pratico-das-marmitas-saudaveis-768-%c3%97-250-px-1.png	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/2024/02/guia-pratico-das-marmitas-saudaveis-768-%c3%97-250-px-1.png	(from https://programareceitasocultas.com.br/receitas/)
22:18:22	10542/10542	---M--	200	added ('OK')	image/webp	date:Sun,%2015%20Dec%202024%2018:42:15%20GMT	https://programareceitasocultas.com/wp-content/uploads/2024/12/Design-sem-nome-15.png	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/2024/12/Design-sem-nome-15.png	(from https://programareceitasocultas.com.br/receitas/)
22:18:22	7784/7784	---M--	200	added ('OK')	image/webp	date:Sun,%2015%20Dec%202024%2018:42:29%20GMT	https://programareceitasocultas.com/wp-content/uploads/2024/12/Design-sem-nome-16.png	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/2024/12/Design-sem-nome-16.png	(from https://programareceitasocultas.com.br/receitas/)
22:18:22	9330/9330	---M--	200	added ('OK')	image/webp	date:Sun,%2015%20Dec%202024%2018:42:45%20GMT	https://programareceitasocultas.com/wp-content/uploads/2024/12/Design-sem-nome-17.png	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/2024/12/Design-sem-nome-17.png	(from https://programareceitasocultas.com.br/receitas/)
22:18:22	79974/79974	---M--	200	added ('OK')	image/webp	date:Thu,%2016%20Nov%202023%2021:15:01%20GMT	https://programareceitasocultas.com/wp-content/uploads/2023/11/4_20231116_180920_0000.png	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/2023/11/4_20231116_180920_0000.png	(from https://programareceitasocultas.com.br/receitas/)
22:18:22	71914/71914	---M--	200	added ('OK')	image/webp	date:Wed,%2028%20Feb%202024%2018:11:23%20GMT	https://programareceitasocultas.com/wp-content/uploads/2024/02/Design-sem-nome.png	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/2024/02/Design-sem-nome.png	(from https://programareceitasocultas.com.br/receitas/)
22:18:23	80390/80390	---M--	200	added ('OK')	image/webp	date:Thu,%2016%20Nov%202023%2021:14:54%20GMT	https://programareceitasocultas.com/wp-content/uploads/2023/11/6_20231116_180921_0002.png	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/2023/11/6_20231116_180921_0002.png	(from https://programareceitasocultas.com.br/receitas/)
22:18:23	39422/39422	---M--	200	added ('OK')	image/webp	date:Tue,%2012%20Mar%202024%2001:37:13%20GMT	https://programareceitasocultas.com/wp-content/uploads/2024/03/9-e1710207427860-768x603.png	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/2024/03/9-e1710207427860-768x603.png	(from https://programareceitasocultas.com.br/receitas/)
22:18:23	31222/31222	---M--	200	added ('OK')	image/webp	date:Sat,%2016%20Nov%202024%2023:47:08%20GMT	https://programareceitasocultas.com/wp-content/uploads/2024/11/Design-sem-nome-5-768x603.png	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/2024/11/Design-sem-nome-5-768x603.png	(from https://programareceitasocultas.com.br/receitas/)
22:18:23	20028/20028	---M--	200	added ('OK')	image/webp	date:Mon,%2013%20Mar%202023%2016:21:14%20GMT	https://programareceitasocultas.com/wp-content/uploads/2023/03/garantia-7-dias-programra-receitas-ocultas-removebg-preview.png	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/uploads/2023/03/garantia-7-dias-programra-receitas-ocultas-removebg-preview.png	(from https://programareceitasocultas.com.br/receitas/)
22:18:24	1936/1936	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2020%20Dec%202024%2020:10:28%20GMT	https://programareceitasocultas.com/wp-content/themes/hello-elementor/assets/js/hello-frontend.min.js?ver=3.2.0	C:/Meus%20Sites/tentativa/programareceitasocultas.com/wp-content/themes/hello-elementor/assets/js/hello-frontend.min55a0.js	(from https://programareceitasocultas.com.br/receitas/)
